[path]
  (367.00, 15520.00)
  (367.00, 15520.00)
  (367.00, 15520.00)
  (367.00, 15520.00)
  (363.99, 15520.00)
  (360.98, 15520.00)
  (357.98, 15520.00)
  (354.97, 15520.00)
  (351.96, 15520.00)
  (348.95, 15520.00)
  (345.94, 15520.00)
  (342.93, 15520.00)
  (339.93, 15520.00)
  (336.92, 15520.00)
  (333.91, 15520.00)
  (330.90, 15520.00)
  (327.89, 15520.00)
  (324.89, 15520.00)
  (321.88, 15520.00)
  (318.87, 15520.00)
  (315.86, 15520.00)
  (312.85, 15520.00)
  (309.84, 15520.00)
  (306.84, 15520.00)
  (303.83, 15520.00)
  (300.82, 15520.00)
  (297.81, 15520.00)
  (294.80, 15520.00)
  (291.80, 15520.00)
  (288.79, 15520.00)
  (285.78, 15520.00)
  (282.77, 15520.00)
  (279.76, 15520.00)
  (276.75, 15520.00)
  (273.75, 15520.00)
  (270.74, 15520.00)
  (267.73, 15520.00)
  (264.72, 15520.00)
  (261.71, 15520.00)
  (258.70, 15520.00)
  (255.70, 15520.00)
  (252.69, 15520.00)
  (249.68, 15520.00)
  (246.67, 15520.00)
  (243.66, 15520.00)
  (240.66, 15520.00)
  (237.65, 15520.00)
  (234.64, 15520.00)
  (231.63, 15520.00)
  (228.62, 15520.00)
  (225.61, 15520.00)
  (222.61, 15520.00)
  (219.60, 15520.00)
  (216.59, 15520.00)
  (213.58, 15520.00)
  (210.57, 15520.00)
  (207.57, 15520.00)
  (204.56, 15520.00)
  (201.55, 15520.00)
  (198.54, 15520.00)
  (195.53, 15520.00)
  (192.52, 15520.00)
  (189.52, 15520.00)
  (186.51, 15520.00)
  (183.50, 15520.00)
  (180.49, 15520.00)
  (177.48, 15520.00)
  (174.48, 15520.00)
  (171.47, 15520.00)
  (168.46, 15520.00)
  (165.45, 15520.00)
  (162.44, 15520.00)
  (159.43, 15520.00)
  (156.43, 15520.00)
  (153.42, 15520.00)
  (150.41, 15520.00)
  (147.40, 15520.00)
  (144.39, 15520.00)
  (141.39, 15520.00)
  (138.38, 15520.00)
  (135.37, 15520.00)
  (132.36, 15520.00)
  (129.35, 15520.00)
  (126.34, 15520.00)
  (123.34, 15520.00)
  (120.33, 15520.00)
  (117.32, 15520.00)
  (114.31, 15520.00)
  (111.30, 15520.00)
  (108.30, 15520.00)
  (105.29, 15520.00)
  (102.28, 15520.00)
  (99.27, 15520.00)
  (96.26, 15520.00)
  (93.25, 15520.00)
  (90.25, 15520.00)
  (87.24, 15520.00)
  (84.23, 15520.00)
  (81.22, 15520.00)
  (78.21, 15520.00)
  (75.20, 15520.00)
  (72.20, 15520.00)
  (69.19, 15520.00)
  (66.18, 15520.00)
  (63.17, 15520.00)
  (60.16, 15520.00)
  (57.16, 15520.00)
  (54.15, 15520.00)
  (51.14, 15520.00)
  (48.13, 15520.00)
  (45.12, 15520.00)
  (42.11, 15520.00)
  (39.11, 15520.00)
  (36.10, 15520.00)
  (33.09, 15520.00)
  (30.08, 15520.00)
  (27.07, 15520.00)
  (24.07, 15520.00)
  (21.06, 15520.00)
  (18.05, 15520.00)
  (15.04, 15520.00)
  (12.03, 15520.00)
  (9.02, 15520.00)
  (6.02, 15520.00)
  (3.01, 15520.00)
  (0.00, 15520.00)
  (0.00, 15520.00)
  (0.00, 15517.00)
  (0.00, 15514.00)
  (0.00, 15511.00)
  (0.00, 15508.00)
  (0.00, 15505.00)
  (0.00, 15502.00)
  (0.00, 15499.00)
  (0.00, 15496.00)
  (0.00, 15493.00)
  (0.00, 15490.00)
  (0.00, 15487.00)
  (0.00, 15484.00)
  (0.00, 15481.00)
  (0.00, 15478.00)
  (0.00, 15475.00)
  (0.00, 15472.00)
  (0.00, 15469.00)
  (0.00, 15466.00)
  (0.00, 15463.00)
  (0.00, 15460.00)
  (0.00, 15457.00)
  (0.00, 15454.00)
  (0.00, 15451.00)
  (0.00, 15448.00)
  (0.00, 15445.00)
  (0.00, 15442.00)
  (0.00, 15439.00)
  (0.00, 15436.00)
  (0.00, 15433.00)
  (0.00, 15430.00)
  (0.00, 15427.00)
  (0.00, 15424.00)
  (0.00, 15421.00)
  (0.00, 15418.00)
  (0.00, 15415.00)
  (0.00, 15412.00)
  (0.00, 15409.00)
  (0.00, 15406.00)
  (0.00, 15403.00)
  (0.00, 15400.00)
  (0.00, 15397.00)
  (0.00, 15394.00)
  (0.00, 15391.00)
  (0.00, 15388.00)
  (0.00, 15385.00)
  (0.00, 15382.00)
  (0.00, 15379.00)
  (0.00, 15376.00)
  (0.00, 15373.00)
  (0.00, 15370.00)
  (0.00, 15367.00)
  (0.00, 15364.00)
  (0.00, 15361.00)
  (0.00, 15358.00)
  (0.00, 15355.00)
  (0.00, 15352.00)
  (0.00, 15349.00)
  (0.00, 15346.00)
  (0.00, 15343.00)
  (0.00, 15340.00)
  (0.00, 15337.00)
  (0.00, 15334.00)
  (0.00, 15331.00)
  (0.00, 15328.00)
  (0.00, 15325.00)
  (0.00, 15322.00)
  (0.00, 15319.00)
  (0.00, 15316.00)
  (0.00, 15313.00)
  (0.00, 15310.00)
  (0.00, 15307.00)
  (0.00, 15304.00)
  (0.00, 15301.00)
  (0.00, 15298.00)
  (0.00, 15295.00)
  (0.00, 15292.00)
  (0.00, 15289.00)
  (0.00, 15286.00)
  (0.00, 15283.00)
  (0.00, 15280.00)
  (0.00, 15277.00)
  (0.00, 15274.00)
  (0.00, 15271.00)
  (0.00, 15268.00)
  (0.00, 15265.00)
  (0.00, 15262.00)
  (0.00, 15259.00)
  (0.00, 15256.00)
  (0.00, 15253.00)
  (0.00, 15250.00)
  (0.00, 15247.00)
  (0.00, 15244.00)
  (0.00, 15241.00)
  (0.00, 15238.00)
  (0.00, 15235.00)
  (0.00, 15232.00)
  (0.00, 15229.00)
  (0.00, 15226.00)
  (0.00, 15223.00)
  (0.00, 15220.00)
  (0.00, 15217.00)
  (0.00, 15214.00)
  (0.00, 15211.00)
  (0.00, 15208.00)
  (0.00, 15205.00)
  (0.00, 15202.00)
  (0.00, 15199.00)
  (0.00, 15196.00)
  (0.00, 15193.00)
  (0.00, 15190.00)
  (0.00, 15187.00)
  (0.00, 15184.00)
  (0.00, 15181.00)
  (0.00, 15178.00)
  (0.00, 15175.00)
  (0.00, 15172.00)
  (0.00, 15169.00)
  (0.00, 15166.00)
  (0.00, 15163.00)
  (0.00, 15160.00)
  (0.00, 15157.00)
  (0.00, 15154.00)
  (0.00, 15151.00)
  (0.00, 15148.00)
  (0.00, 15145.00)
  (0.00, 15142.00)
  (0.00, 15139.00)
  (0.00, 15136.00)
  (0.00, 15133.00)
  (0.00, 15130.00)
  (0.00, 15127.00)
  (0.00, 15124.00)
  (0.00, 15121.00)
  (0.00, 15118.00)
  (0.00, 15115.00)
  (0.00, 15112.00)
  (0.00, 15109.00)
  (0.00, 15106.00)
  (0.00, 15103.00)
  (0.00, 15100.00)
  (0.00, 15097.00)
  (0.00, 15094.00)
  (0.00, 15091.00)
  (0.00, 15088.00)
  (0.00, 15085.00)
  (0.00, 15082.00)
  (0.00, 15079.00)
  (0.00, 15076.00)
  (0.00, 15073.00)
  (0.00, 15070.00)
  (0.00, 15067.00)
  (0.00, 15064.00)
  (0.00, 15061.00)
  (0.00, 15058.00)
  (0.00, 15055.00)
  (0.00, 15052.00)
  (0.00, 15049.00)
  (0.00, 15046.00)
  (0.00, 15043.00)
  (0.00, 15040.00)
  (0.00, 15037.00)
  (0.00, 15034.00)
  (0.00, 15031.00)
  (0.00, 15028.00)
  (0.00, 15025.00)
  (0.00, 15022.00)
  (0.00, 15019.00)
  (0.00, 15016.00)
  (0.00, 15013.00)
  (0.00, 15010.00)
  (0.00, 15007.00)
  (0.00, 15004.00)
  (0.00, 15001.00)
  (0.00, 14998.00)
  (0.00, 14995.00)
  (0.00, 14992.00)
  (0.00, 14989.00)
  (0.00, 14986.00)
  (0.00, 14983.00)
  (0.00, 14980.00)
  (0.00, 14977.00)
  (0.00, 14974.00)
  (0.00, 14971.00)
  (0.00, 14968.00)
  (0.00, 14965.00)
  (0.00, 14962.00)
  (0.00, 14959.00)
  (0.00, 14956.00)
  (0.00, 14953.00)
  (0.00, 14950.00)
  (0.00, 14947.00)
  (0.00, 14944.00)
  (0.00, 14941.00)
  (0.00, 14938.00)
  (0.00, 14935.00)
  (0.00, 14935.00)
  (0.00, 14931.99)
  (0.00, 14928.98)
  (0.00, 14925.97)
  (0.00, 14922.96)
  (0.00, 14919.95)
  (0.00, 14916.94)
  (0.00, 14913.93)
  (0.00, 14910.92)
  (0.00, 14907.91)
  (0.00, 14904.90)
