type,x,y
path,28.0,-3.0
path,55.0,-8.0
path,62.0,-12.0
path,6.0,-4.0
path,20.0,-8.0
path,31.0,-9.0
path,73.0,-9.0
path,95.0,-17.0
path,110.0,-39.0
path,9.0,-14.0
path,20.0,-22.0
path,25.0,-19.0
path,4.0,3.0
path,20.0,1.0
path,34.0,-5.0
path,21.0,-7.0
path,26.0,-6.0
path,26.0,5.0
path,0.0,18.0
path,4.0,18.0
path,53.0,4.0
path,20.0,-5.0
path,37.0,-14.0
path,37.0,-20.0
path,0.0,-5.0
path,11.0,-7.0
path,25.0,-3.0
path,18.0,4.0
path,27.0,1.0
path,31.0,-10.0
path,3.0,-9.0
path,17.0,-16.0
path,29.0,-16.0
path,15.0,0.0
path,26.0,-8.0
path,30.0,-20.0
path,4.0,-11.0
path,10.0,-18.0
path,15.0,-15.0
path,13.0,8.0
path,40.0,-6.0
path,40.0,-21.0
path,0.0,-12.0
path,4.0,-12.0
path,21.0,-3.0
path,30.0,16.0
path,43.0,-1.0
path,35.0,-46.0
path,-11.0,-57.0
path,-56.0,-60.0
path,-59.0,-3.0
path,-2.0,20.0
path,-6.0,23.0
path,-29.0,20.0
path,-21.0,-3.0
path,-28.0,0.0
path,-28.0,12.0
path,0.0,10.0
path,-9.0,16.0
path,-25.0,16.0
path,-14.0,0.0
path,-28.0,7.0
path,-31.0,15.0
path,-4.0,8.0
path,-17.0,15.0
path,-29.0,15.0
path,-13.0,0.0
path,-27.0,4.0
path,-30.0,10.0
path,-3.0,5.0
path,-17.0,10.0
path,-31.0,10.0
path,-14.0,0.0
path,-27.0,6.0
path,-30.0,14.0
path,-3.0,8.0
path,-14.0,11.0
path,-28.0,9.0
path,-13.0,-3.0
path,-27.0,0.0
path,-30.0,6.0
path,-4.0,5.0
path,-13.0,8.0
path,-21.0,4.0
path,-8.0,-3.0
path,-23.0,-2.0
path,-33.0,3.0
path,-9.0,4.0
path,-26.0,9.0
path,-37.0,11.0
path,-73.0,11.0
path,-95.0,16.0
path,-95.0,22.0
path,0.0,3.0
path,-24.0,5.0
path,-52.0,4.0
path,-29.0,-1.0
path,-62.0,2.0
path,-73.0,7.0
path,-25.0,10.0
path,-112.0,27.0
path,-182.0,36.0
path,-39.0,5.0
path,-53.0,11.0
path,-54.0,23.0
path,0.0,10.0
path,-2.0,11.0
path,-6.0,4.0
path,-2.0,-7.0
path,-16.0,-13.0
path,-30.0,-13.0
path,-20.0,0.0
path,-23.0,-4.0
path,-18.0,-19.0
path,4.0,-13.0
path,-1.0,-27.0
path,-12.0,-38.0
path,-11.0,-11.0
path,-17.0,-29.0
path,-15.0,-45.0
path,3.0,-24.0
path,0.0,-28.0
path,-22.0,-28.0
path,-21.0,0.0
path,-26.0,5.0
path,-26.0,24.0
path,0.0,14.0
path,4.0,28.0
path,10.0,31.0
path,5.0,3.0
path,10.0,19.0
path,10.0,35.0
path,0.0,16.0
path,5.0,32.0
path,11.0,35.0
path,14.0,9.0
path,-21.0,34.0
path,-38.0,28.0
path,-7.0,-3.0
path,-21.0,-2.0
path,-30.0,3.0
path,-18.0,8.0
path,-29.0,10.0
path,-98.0,18.0
path,-31.0,4.0
path,-44.0,0.0
path,-58.0,-15.0
path,-10.0,-10.0
path,-15.0,-24.0
path,-12.0,-29.0
path,3.0,-5.0
path,0.0,-20.0
path,-6.0,-32.0
path,-7.0,-13.0
path,-14.0,-32.0
path,-15.0,-43.0
path,-1.0,-11.0
path,-6.0,-32.0
path,-9.0,-46.0
path,-6.0,-22.0
path,-2.0,-28.0
path,27.0,-40.0
path,18.0,-7.0
path,38.0,-14.0
path,43.0,-15.0
path,6.0,0.0
path,16.0,-2.0
path,23.0,-2.0
path,14.0,-2.0
path,17.0,-42.0
path,2.0,-42.0
path,-5.0,0.0
path,-10.0,5.0
path,-10.0,11.0
path,0.0,6.0
path,-8.0,8.0
path,-19.0,4.0
path,-10.0,-3.0
path,-24.0,1.0
path,-31.0,10.0
path,-7.0,8.0
path,-23.0,15.0
path,-36.0,15.0
path,-14.0,0.0
path,-24.0,6.0
path,-24.0,14.0
path,0.0,12.0
path,-6.0,12.0
path,-35.0,3.0
path,-19.0,-6.0
path,-35.0,-14.0
path,-35.0,-19.0
path,0.0,-13.0
path,-18.0,-9.0
path,-36.0,9.0
path,-13.0,13.0
path,-19.0,14.0
path,-22.0,5.0
path,-7.0,-21.0
path,-42.0,-14.0
path,-42.0,8.0
path,0.0,11.0
path,-4.0,20.0
path,-10.0,20.0
path,-11.0,0.0
path,-14.0,-49.0
path,-2.0,-51.0
path,4.0,-1.0
path,20.0,-2.0
path,36.0,-3.0
path,16.0,-1.0
path,31.0,-7.0
path,33.0,-13.0
path,2.0,-5.0
path,15.0,-8.0
path,28.0,-5.0
path,20.0,3.0
path,25.0,0.0
path,25.0,-16.0
path,0.0,-18.0
path,4.0,-19.0
path,47.0,-11.0
path,26.0,5.0
path,55.0,6.0
path,63.0,3.0
path,21.0,-10.0
path,47.0,-13.0
path,113.0,-15.0
path,54.0,-2.0
path,57.0,-3.0
path,57.0,-27.0
path,0.0,-24.0
path,1.0,-24.0
path,19.0,-8.0
path,11.0,10.0
path,24.0,15.0
path,30.0,12.0
path,6.0,-4.0
path,36.0,-9.0
path,67.0,-11.0
path,31.0,-2.0
path,61.0,-9.0
path,68.0,-14.0
path,7.0,-6.0
path,22.0,-8.0
path,34.0,-4.0
path,16.0,4.0
path,22.0,1.0
path,22.0,-11.0
path,0.0,-18.0
path,15.0,-22.0
path,25.0,-6.0
path,8.0,12.0
path,45.0,13.0
path,45.0,1.0
path,0.0,-5.0
path,26.0,-12.0
path,58.0,-16.0
path,31.0,-4.0
path,61.0,-9.0
path,66.0,-12.0
path,4.0,-3.0
path,27.0,-7.0
path,51.0,-9.0
path,24.0,-2.0
path,78.0,-12.0
path,122.0,-24.0
path,48.0,-13.0
path,79.0,-16.0
path,81.0,-10.0
path,6.0,16.0
path,39.0,12.0
path,46.0,-6.0
path,3.0,-8.0
path,9.0,-13.0
path,14.0,-10.0
path,4.0,2.0
path,34.0,-4.0
path,67.0,-15.0
path,32.0,-10.0
path,68.0,-19.0
path,80.0,-19.0
path,13.0,0.0
path,28.0,-7.0
path,35.0,-15.0
path,7.0,-8.0
