[path]
  (0.00, 6636.00)
  (0.00, -4164.00)
  (0.00, -4164.00)
  (30.00, -4176.00)
  (28.00, -12.00)
  (44.00, -50.00)
  (20.00, -50.00)
  (-5.00, 0.00)
  (-10.00, 4.00)
  (-10.00, 10.00)
  (0.00, 5.00)
  (-9.00, 14.00)
  (-20.00, 20.00)
  (-20.00, 11.00)
  (-20.00, 8.00)
  (-20.00, -227.00)
  (0.00, -238.00)
  (0.00, -238.00)
  (40.00, -240.00)
  (48.00, -3.00)
  (103.00, -37.00)
  (153.00, -97.00)
  (35.00, -42.00)
  (50.00, -96.00)
  (27.00, -96.00)
  (-5.00, 0.00)
  (-10.00, 9.00)
  (-10.00, 20.00)
  (0.00, 12.00)
  (-28.00, 48.00)
  (-65.00, 85.00)
  (-63.00, 63.00)
  (-90.00, 81.00)
  (-78.00, 50.00)
  (3.00, -9.00)
  (-2.00, -24.00)
  (-12.00, -35.00)
  (-23.00, -26.00)
  (-9.00, -49.00)
  (62.00, -96.00)
  (39.00, -26.00)
  (69.00, -38.00)
  (94.00, -38.00)
  (20.00, -1.00)
  (42.00, -6.00)
  (50.00, -12.00)
  (38.00, -31.00)
  (280.00, -46.00)
  (339.00, -21.00)
  (81.00, 35.00)
  (122.00, 136.00)
  (84.00, 208.00)
  (-14.00, 27.00)
  (-19.00, 30.00)
  (-47.00, 25.00)
  (-26.00, -5.00)
  (-38.00, 0.00)
  (-64.00, 23.00)
  (-18.00, 16.00)
  (-33.00, 31.00)
  (-33.00, 35.00)
  (0.00, 15.00)
  (28.00, 4.00)
  (50.00, -19.00)
  (12.00, -13.00)
  (27.00, -22.00)
  (32.00, -19.00)
  (5.00, 3.00)
  (24.00, 3.00)
  (43.00, 0.00)
  (39.00, -8.00)
  (55.00, -41.00)
  (55.00, -117.00)
  (0.00, -62.00)
  (-45.00, -132.00)
  (-98.00, -155.00)
  (-46.00, -20.00)
  (-197.00, -20.00)
  (-297.00, 0.00)
  (-179.00, 36.00)
  (-215.00, 50.00)
  (-273.00, 104.00)
  (-28.00, 26.00)
  (-31.00, 36.00)
  (-30.00, 76.00)
  (1.00, 25.00)
  (6.00, 46.00)
  (11.00, 46.00)
  (4.00, 0.00)
  (6.00, 4.00)
  (2.00, 10.00)
  (-3.00, 5.00)
  (-12.00, 7.00)
  (-20.00, 3.00)
  (-19.00, -7.00)
  (-21.00, -109.00)
  (-2.00, -116.00)
  (9.00, -4.00)
  (9.00, -8.00)
  (-2.00, -15.00)
  (-11.00, -8.00)
  (-11.00, -11.00)
  (0.00, -16.00)
  (11.00, -5.00)
  (11.00, -7.00)
  (2.00, -12.00)
  (-10.00, -4.00)
  (-13.00, -44.00)
  (-13.00, -146.00)
  (-13.00, -287.00)
  (133.00, -281.00)
  (214.00, -277.00)
  (381.00, -275.00)
  (574.00, -278.00)
  (599.00, -283.00)
  (697.00, -294.00)
  (858.00, -308.00)
  (1038.00, -316.00)
  (1303.00, -333.00)
  (1588.00, -365.00)
  (1612.00, -383.00)
  (1623.00, -413.00)
  (1605.00, -429.00)
  (1593.00, -423.00)
  (1531.00, -409.00)
  (1419.00, -391.00)
  (1370.00, -387.00)
  (1269.00, -379.00)
  (1154.00, -370.00)
  (1140.00, -368.00)
  (1061.00, -364.00)
  (916.00, -359.00)
  (850.00, -357.00)
  (728.00, -351.00)
  (603.00, -342.00)
  (600.00, -338.00)
  (535.00, -333.00)
  (398.00, -330.00)
  (265.00, -334.00)
  (265.00, -449.00)
  (265.00, -563.00)
  (265.00, -677.00)
  (312.00, -783.00)
  (399.00, -769.00)
  (657.00, -771.00)
  (990.00, -802.00)
  (1010.00, -810.00)
  (1050.00, -863.00)
  (1090.00, -951.00)
  (1090.00, -987.00)
  (1120.00, -1039.00)
  (1204.00, -1084.00)
  (1227.00, -1081.00)
  (1285.00, -1079.00)
  (1364.00, -1082.00)
  (1398.00, -1089.00)
  (1440.00, -1094.00)
  (1523.00, -1067.00)
  (1569.00, -1033.00)
  (1637.00, -996.00)
  (1685.00, -991.00)
  (1665.00, -1023.00)
  (1579.00, -1086.00)
  (1460.00, -1141.00)
  (1444.00, -1138.00)
  (1389.00, -1132.00)
  (1304.00, -1128.00)
  (1214.00, -1131.00)
  (1098.00, -1115.00)
  (986.00, -1036.00)
  (986.00, -1028.00)
  (979.00, -1003.00)
  (963.00, -965.00)
  (935.00, -928.00)
  (712.00, -864.00)
  (377.00, -817.00)
  (330.00, -824.00)
  (283.00, -831.00)
  (236.00, -1457.00)
  (236.00, -2076.00)
  (767.00, -2076.00)
  (1060.00, -2076.00)
  (1589.00, -2073.00)
  (2115.00, -2066.00)
  (2111.00, -2063.00)
  (2045.00, -2055.00)
  (1906.00, -2045.00)
  (1833.00, -2043.00)
  (1677.00, -2036.00)
  (1492.00, -2024.00)
  (1462.00, -2020.00)
  (1406.00, -2016.00)
  (1345.00, -2017.00)
  (1327.00, -2035.00)
  (1251.00, -2039.00)
  (1164.00, -2019.00)
  (1155.00, -2000.00)
  (1137.00, -1978.00)
  (1057.00, -1954.00)
  (959.00, -1952.00)
  (853.00, -1949.00)
  (710.00, -1937.00)
  (691.00, -1933.00)
  (659.00, -1919.00)
  (627.00, -1896.00)
  (627.00, -1886.00)
  (632.00, -1873.00)
  (650.00, -1865.00)
  (693.00, -1882.00)
  (828.00, -1907.00)
  (1055.00, -1926.00)
  (1154.00, -1920.00)
  (1253.00, -1914.00)
  (1394.00, -1864.00)
  (1416.00, -1840.00)
  (1461.00, -1796.00)
  (1510.00, -1752.00)
  (1522.00, -1752.00)
  (1556.00, -1785.00)
  (1591.00, -1837.00)
  (1591.00, -1860.00)
  (1648.00, -1884.00)
  (1763.00, -1887.00)
  (1832.00, -1862.00)
  (2047.00, -1848.00)
  (2262.00, -1865.00)
  (2262.00, -1870.00)
  (2266.00, -1877.00)
  (2275.00, -1881.00)
  (2279.00, -1878.00)
  (2302.00, -1877.00)
  (2343.00, -1881.00)
  (2370.00, -1889.00)
  (2410.00, -1894.00)
  (2484.00, -1880.00)
  (2516.00, -1862.00)
  (2579.00, -1838.00)
  (2705.00, -1810.00)
  (2768.00, -1806.00)
  (2863.00, -1796.00)
  (2987.00, -1769.00)
  (3009.00, -1756.00)
  (3059.00, -1735.00)
  (3122.00, -1717.00)
  (3135.00, -1719.00)
  (3158.00, -1719.00)
  (3181.00, -1715.00)
  (3181.00, -1700.00)
  (3209.00, -1690.00)
  (3243.00, -1697.00)
  (3253.00, -1723.00)
  (3261.00, -1750.00)
  (3228.00, -1771.00)
  (3206.00, -1769.00)
  (3163.00, -1768.00)
  (3115.00, -1771.00)
  (3091.00, -1793.00)
  (2967.00, -1840.00)
  (2797.00, -1883.00)
  (2758.00, -1879.00)
  (2701.00, -1879.00)
  (2605.00, -1900.00)
  (2551.00, -1931.00)
  (2442.00, -1960.00)
  (2261.00, -1955.00)
  (2219.00, -1935.00)
  (2093.00, -1910.00)
  (1938.00, -1901.00)
  (1928.00, -1906.00)
  (1882.00, -1920.00)
  (1801.00, -1939.00)
  (1737.00, -1950.00)
  (1645.00, -1953.00)
  (1556.00, -1930.00)
  (1561.00, -1891.00)
  (1556.00, -1854.00)
  (1510.00, -1862.00)
  (1485.00, -1889.00)
  (1441.00, -1939.00)
  (1399.00, -1991.00)
  (1416.00, -2008.00)
  (1706.00, -2044.00)
  (2019.00, -2065.00)
  (2035.00, -2056.00)
  (2119.00, -2068.00)
  (2210.00, -2097.00)
  (2217.00, -2115.00)
  (2620.00, -2136.00)
  (3023.00, -2139.00)
  (3023.00, -2125.00)
  (3093.00, -2046.00)
  (3179.00, -1967.00)
  (3186.00, -1967.00)
  (3202.00, -1962.00)
  (3221.00, -1952.00)
  (3230.00, -1937.00)
  (3255.00, -1925.00)
  (3280.00, -1929.00)
  (3280.00, -1937.00)
  (3271.00, -1954.00)
  (3252.00, -1975.00)
  (3242.00, -1978.00)
  (3207.00, -1999.00)
  (3151.00, -2039.00)
  (3115.00, -2074.00)
  (3079.00, -2109.00)
  (3096.00, -2144.00)
  (3134.00, -2144.00)
  (3183.00, -2141.00)
  (3221.00, -2131.00)
  (3208.00, -2122.00)
  (3195.00, -2111.00)
  (3195.00, -2091.00)
  (3203.00, -2086.00)
  (3228.00, -2076.00)
  (3264.00, -2066.00)
  (3276.00, -2066.00)
  (3304.00, -2058.00)
  (3339.00, -2041.00)
  (3368.00, -2007.00)
  (3561.00, -1842.00)
  (3806.00, -1648.00)
  (3836.00, -1631.00)
  (3890.00, -1596.00)
  (3944.00, -1556.00)
  (3944.00, -1551.00)
  (3951.00, -1542.00)
  (3966.00, -1533.00)
  (4002.00, -1533.00)
  (4009.00, -1570.00)
  (3951.00, -1644.00)
  (3904.00, -1671.00)
  (3695.00, -1828.00)
  (3459.00, -2017.00)
  (3452.00, -2026.00)
  (3427.00, -2043.00)
  (3387.00, -2060.00)
