theta_L,theta_R,x,y
-113.39999999999958,18.00000000000125,-22.971160183703596,26.882604226735303
-111.59999999999957,18.00000000000125,-23.032151157212933,25.812910823455713
-111.59999999999957,19.800000000001262,-23.794537517370628,25.27440853385731
-111.59999999999957,21.600000000001273,-24.56157352389255,24.734363752443688
-109.79999999999956,18.00000000000125,-23.081713154868087,24.766382414770543
-109.79999999999956,19.800000000001262,-23.820146128263985,24.247840328339656
-109.79999999999956,21.600000000001273,-24.56434768921896,23.728696482958853
-109.79999999999956,23.400000000001285,-25.31508294966065,23.208917003330637
-109.79999999999956,25.200000000001296,-26.073126821984058,22.688424866468683
-109.79999999999956,27.000000000001307,-26.83926083622988,22.167098053700908
-107.99999999999955,18.00000000000125,-23.12058213263375,23.741245935198126
-107.99999999999955,19.800000000001262,-23.835938869916657,23.242058840634222
-107.99999999999955,21.600000000001273,-24.558146874898785,22.743233655585872
-107.99999999999955,23.400000000001285,-25.28800681064751,22.244739358329383
-107.99999999999955,25.200000000001296,-26.026330515718392,21.746500156590738
-107.99999999999955,27.000000000001307,-26.773937582110744,21.24839344662246
-107.99999999999955,28.80000000000132,-27.53165167145362,20.750247872709174
-107.99999999999955,30.60000000000133,-28.300296571784102,20.25184151140137
-106.19999999999953,18.00000000000125,-23.149409049098292,22.73578526755928
-106.19999999999953,19.800000000001262,-23.842493807505633,22.255380564797267
-106.19999999999953,21.600000000001273,-24.54348045176599,21.77632702595856
-106.19999999999953,23.400000000001285,-25.253208485599238,21.29859860618242
-106.19999999999953,25.200000000001296,-25.972529940842072,20.822122739141346
-106.19999999999953,27.000000000001307,-26.70230570091945,20.346778083782187
-106.19999999999953,28.80000000000132,-27.44340153623471,19.8723923737634
-106.19999999999953,30.60000000000133,-28.196683854026197,19.398740396906376
-106.19999999999953,32.40000000000134,-28.96301516967963,18.925542133937405
-106.19999999999953,34.20000000000135,-29.74324931136873,18.452461087456633
-104.39999999999952,18.00000000000125,-23.16876662464983,21.748332599320946
-104.39999999999952,19.800000000001262,-23.840315784612184,21.28616879620209
-104.39999999999952,21.600000000001273,-24.520789355424675,20.82637374172372
-104.39999999999952,23.400000000001285,-25.21106901070457,20.368928575814685
-104.39999999999952,25.200000000001296,-25.912050294379867,19.913766030222835
-104.39999999999952,27.000000000001307,-26.62463867084244,19.46076793972042
-104.39999999999952,28.80000000000132,-27.3497452567131,19.009762857720474
-104.39999999999952,30.60000000000133,-28.088282237104327,18.560523807157793
-104.39999999999952,32.40000000000134,-28.841157974466253,18.112766199839314
-104.39999999999952,34.20000000000135,-29.609271823823757,17.66614595947339
-104.39999999999952,36.000000000001364,-30.393508674384915,17.220257885127754
-104.39999999999952,37.800000000001376,-31.194733244018725,16.77463429283386
-104.39999999999952,39.60000000000139,-32.01378415983152,16.328743973334404
-102.59999999999951,18.00000000000125,-23.179155078135523,20.777259519163017
-102.59999999999951,19.800000000001262,-23.8298415452275,20.332824650866446
-102.59999999999951,21.600000000001273,-24.49045063050078,19.89180733602987
-102.59999999999951,23.400000000001285,-25.161909578862904,19.45419822402891
-102.59999999999951,25.200000000001296,-25.84516084896734,19.01993752317725
-102.59999999999951,27.000000000001307,-26.54115786718663,18.588912248834117
-102.59999999999951,28.80000000000132,-27.25086042838411,18.16095357700691
-102.59999999999951,30.60000000000133,-27.97522974689116,17.735834338454115
-102.59999999999951,32.40000000000134,-28.715223167203728,17.31326669112753
-102.59999999999951,34.20000000000135,-29.47178855063527,16.89290001121183
-102.59999999999951,36.000000000001364,-30.24585836140865,16.474319044884673
-102.59999999999951,37.800000000001376,-31.03834348330589,16.05704236409472
-102.59999999999951,39.60000000000139,-31.850126805847253,15.640521169990546
-102.59999999999951,41.4000000000014,-32.682056626838374,15.224138487011626
-102.59999999999951,43.20000000000141,-33.53493992576485,14.807208788952668
-100.7999999999995,18.00000000000125,-23.18100690599238,19.820967765995807
-100.7999999999995,19.800000000001262,-23.81144393685238,19.39377774630954
-100.7999999999995,21.600000000001273,-24.45278109393061,18.971088392827227
-100.7999999999995,23.400000000001285,-25.105994701651305,18.552902339885012
-100.7999999999995,25.200000000001296,-25.77207765436687,18.13916958850742
-100.7999999999995,27.000000000001307,-26.452034846695213,17.7297844587626
-100.7999999999995,28.80000000000132,-27.14687821071173,17.32458264795206
-100.7999999999995,30.60000000000133,-27.857621364152354,16.923338434539964
-100.7999999999995,32.40000000000134,-28.585273880981024,16.52576207114973
-100.7999999999995,34.20000000000135,-29.330835203601016,16.13149741288254
-100.7999999999995,36.000000000001364,-30.095288224522644,15.740119829473045
-100.7999999999995,37.800000000001376,-30.879592574267402,15.351134451214367
-100.7999999999995,39.60000000000139,-31.68467766147082,14.963974798980594
-100.7999999999995,41.4000000000014,-32.51143552028314,14.578001847897237
-100.7999999999995,43.20000000000141,-33.3607135289539,14.192503572114994
-100.7999999999995,45.00000000000142,-34.23330707159671,13.806695014636887
-100.7999999999995,46.80000000000143,-35.12995222222172,13.419718921176665
-98.99999999999949,18.00000000000125,-23.174690750029978,18.877879514450175
-98.99999999999949,19.800000000001262,-23.785435232336624,18.467476419122555
-98.99999999999949,21.600000000001273,-24.408040146847497,18.062694752130426
-98.99999999999949,23.400000000001285,-25.043534550219427,17.663551796437304
-98.99999999999949,25.200000000001296,-25.69296544943198,17.270009833731827
-98.99999999999949,27.000000000001307,-26.357392875729264,16.88197276235361
-98.99999999999949,28.80000000000132,-27.037884519584082,16.49928282049824
-98.99999999999949,30.60000000000133,-27.735509931877772,16.12171746041848
-98.99999999999949,32.40000000000134,-28.45133430500587,15.74898642348601
-98.99999999999949,34.20000000000135,-29.186411856999026,15.380729069530076
-98.99999999999949,36.000000000001364,-29.941778851834222,15.01651201661306
-98.99999999999949,37.800000000001376,-30.71844629967046,14.655827149105505
-98.99999999999949,39.60000000000139,-31.517392391505314,14.298090052378706
-98.99999999999949,41.4000000000014,-32.33955473336723,13.942638931433102
