theta_L,theta_R,x,y
0.0,41.4,-34.72624628808748,24.782588889635125
0.0,43.2,-36.70568567573785,30.365196924288693
0.0,45.0,-38.45652298908229,34.66593320617141
0.0,46.800000000000004,-40.13317465777256,38.353003752849006
0.0,48.6,-41.785222126792,41.65519272473342
0.0,50.4,-43.4347788065637,44.68261916647325
0.0,52.2,-45.09321464009118,47.497782255536656
0.0,54.0,-46.766755102253484,50.13987698929787
0.0,55.800000000000004,-48.45882707185562,52.63520052620307
0.0,57.6,-50.171191811462435,55.00228322859274
0.0,59.4,-51.90454946023351,57.25468241400578
0.0,61.2,-53.658886409328545,59.402620130233196
0.0,63.0,-55.433686786205115,61.45400000773798
0.0,64.8,-57.22806730788491,63.41506836387315
0.0,66.60000000000001,-59.04086659674637,65.29086062368394
0.0,68.4,-60.87070623400238,67.08551252675767
0.0,70.2,-62.71603361255819,68.80248306503128
0.0,72.0,-64.57515268586563,70.44471801447986
0.0,73.8,-66.44624643246105,72.01477242349068
0.0,75.60000000000001,-68.3273934982224,73.51490409136015
0.0,77.4,-70.21658064182128,74.94714612942909
0.0,79.2,-72.11171207812552,76.31336417288878
0.0,81.0,-74.01061646864412,77.61530215299997
0.0,82.8,-75.91105207744536,78.85461942545713
0.0,84.60000000000001,-77.81071045348823,80.03292128699402
0.0,86.4,-79.70721889033076,81.15178437915955
0.0,88.2,-81.5981418356128,82.21277809958018
0.0,90.0,-83.48098136521065,83.21748286786138
0.0,91.8,-85.3531767937603,84.16750589313982
0.0,93.60000000000001,-87.21210345982313,85.06449494139821
0.0,95.4,-89.05507069725833,85.91015048805929
0.0,97.2,-90.8793189822539,86.70623655468142
0.0,99.0,-92.6820162264826,87.45459046038499
0.0,100.8,-94.46025316994988,88.15713166356525
0.0,102.60000000000001,-96.21103781157487,88.81586982348757
0.0,104.4,-97.93128880090225,89.43291217142028
0.0,106.2,-99.61782770029225,90.01047024456123
0.0,108.0,-101.26737001335866,90.55086600106318
0.0,109.8,-102.87651486236834,91.056537299094
0.0,111.60000000000001,-104.4417331850336,91.53004268531622
0.0,113.4,-105.95935431009303,91.97406539666603
0.0,115.2,-107.42555076206548,92.39141643201772
0.0,117.0,-108.83632113972865,92.78503649523904
0.0,118.8,-110.18747091187261,93.15799654609629
0.0,120.60000000000001,-111.47459098002113,93.51349661803582
0.0,122.4,-112.6930338742666,93.85486246940432
0.0,124.2,-113.83788747941932,94.18553952431338
0.0,126.0,-114.9039462400456,94.5090834281527
0.0,127.8,-115.88567987222982,94.82914638782847
0.0,129.6,-116.7771997268833,95.14945828570927
0.0,131.4,-117.57222311680658,95.47380134752478
0.0,133.20000000000002,-118.2640361535013,95.80597690844954
0.0,135.0,-118.84545595976337,96.1497625618008
0.0,136.8,-119.30879355433737,96.50885769965473
0.0,138.6,-119.64581927329769,96.88681518031336
0.0,140.4,-119.84773333028238,97.28695661115842
0.0,142.20000000000002,-119.9051450558169,97.7122685599746
0.0,144.0,-119.8080655223335,98.1652769676804
0.0,145.8,-119.54591967176633,98.64789722268183
0.0,147.6,-119.10758570765613,99.16125789780955
0.0,149.4,-118.48147134046685,99.70549720916084
0.0,151.20000000000002,-117.65563835954381,100.27953303318826
0.0,153.0,-116.61798871901033,100.88081004027921
0.0,154.8,-115.35652649477117,101.50503139134199
0.0,156.6,-113.85971014190676,102.14588765812553
0.0,158.4,-112.11690770417141,102.79480217216141
0.0,160.20000000000002,-110.11896307764398,103.44071959592723
0.0,162.0,-107.85887312583516,104.06997240390527
0.0,163.8,-105.33256257334767,104.66626680809482
0.0,165.6,-102.53972591518941,105.21083341442608
0.0,167.4,-99.48468388473204,105.68278591872593
0.0,169.20000000000002,-96.17717874560933,106.05972065126963
0.0,171.0,-92.6330121607623,106.31856864487867
0.0,172.8,-88.87441770059726,106.43667988376409
0.0,174.6,-84.93006385114283,106.3930793195605
0.0,176.4,-80.83460791161802,106.16979268626025
0.0,178.20000000000002,-76.62776765637439,105.75310681678954
0.0,180.0,-72.35294117647061,105.13461464823007
0.0,181.8,-68.05547452511207,104.3119072826166
0.0,183.6,-63.7807360986203,103.28881590785646
0.0,185.4,-59.57219099535139,102.07516847318159
0.0,187.20000000000002,-55.46966859500816,100.68609622610778
0.0,189.0,-51.50798229007345,99.14098730773867
0.0,190.8,-47.71600099370696,97.4622250408658
0.0,192.6,-44.116202839516355,95.6738607252375
0.0,194.4,-40.72467794835953,93.80035623862683
0.0,196.20000000000002,-37.5515006518297,91.8654984133537
0.0,198.0,-34.601367033589554,89.89154560317239
0.0,199.8,-31.87438985084399,87.89862678467267
0.0,201.6,-29.36695458952482,85.90438151957031
0.0,203.4,-27.072560918887653,83.92380797017677
0.0,205.20000000000002,-24.98259708896384,81.96927566070922
0.0,207.0,-23.087016508455964,80.05065769928828
0.0,208.8,-21.37490343070403,78.17554092734484
0.0,210.6,-19.834927545596425,76.34947931002614
0.0,212.4,-18.45569558008337,74.57626377524383
0.0,214.20000000000002,-17.226012559654738,72.85818929770173
0.0,216.0,-16.13506716075233,71.19630656837873
0.0,217.8,-15.172555512008866,69.59065080413214
0.0,219.6,-14.32875663237149,68.0404441403362
0.0,221.4,-13.59457098033517,66.5442707713458
0.0,223.20000000000002,-12.961531703821514,65.10022578057371
0.0,225.0,-12.421796353501762,63.70603966030038
0.0,226.8,-11.968125177344426,62.359181062055356
0.0,228.6,-11.593850703925686,61.056940505656655
0.0,230.4,-11.292842155703664,59.7964977348201
0.0,232.20000000000002,-11.059467295377328,58.574975231767354
0.0,234.0,-10.888553571020818,57.389480156831596
0.0,235.8,-10.775349857325502,56.237136704657004
0.0,237.6,-10.715489660063827,55.115110593429534
0.0,239.4,-10.704956330878268,54.02062714373723
0.0,241.20000000000002,-10.740050605735469,52.95098416761313
0.0,243.0,-10.817360613027043,51.90356067953746
0.0,244.8,-10.933734380331975,50.875822260047386
0.0,246.6,-11.08625478962045,49.86532374763631
0.0,248.4,-11.272216879322214,48.86970980338469
0.0,250.20000000000002,-11.489107360650923,47.886713782370734
0.0,252.0,-11.734586199138931,46.91415525340318
0.0,253.8,-12.006470106213566,45.94993643114854
0.0,255.6,-12.302717786661685,44.99203771963603
0.0,257.40000000000003,-12.621416793678247,44.03851251100387
0.0,259.2,-12.96077185221867,43.08748133601365
0.0,261.0,-13.319094522422109,42.13712542131398
0.0,262.8,-13.694794087167125,41.185679670840656
0.0,264.6,-14.086369560885275,40.23142505332972
0.0,266.40000000000003,-14.492402730345361,39.272680342924566
0.0,268.2,-14.911552152177356,38.30779312341801
0.0,270.0,-15.342548046554061,37.33512992668489
0.0,271.8,-15.784188041978968,36.35306532985835
0.0,273.6,-16.235333743030147,35.35996978068591
0.0,275.40000000000003,-16.694908111897583,34.35419585226448
0.0,277.2,-17.161893676663002,33.33406254161636
0.0,279.0,-17.635331605980596,32.29783711392894
