type,x,y
path,1882.0,-1920.0
path,1801.0,-1939.0
path,1737.0,-1950.0
path,1645.0,-1953.0
path,1556.0,-1930.0
path,1561.0,-1891.0
path,1556.0,-1854.0
path,1510.0,-1862.0
path,1485.0,-1889.0
path,1441.0,-1939.0
path,1399.0,-1991.0
path,1416.0,-2008.0
path,1706.0,-2044.0
path,2019.0,-2065.0
path,2035.0,-2056.0
path,2119.0,-2068.0
path,2210.0,-2097.0
path,2217.0,-2115.0
path,2620.0,-2136.0
path,3023.0,-2139.0
path,3023.0,-2125.0
path,3093.0,-2046.0
path,3179.0,-1967.0
path,3186.0,-1967.0
path,3202.0,-1962.0
path,3221.0,-1952.0
path,3230.0,-1937.0
path,3255.0,-1925.0
path,3280.0,-1929.0
path,3280.0,-1937.0
path,3271.0,-1954.0
path,3252.0,-1975.0
path,3242.0,-1978.0
path,3207.0,-1999.0
path,3151.0,-2039.0
path,3115.0,-2074.0
path,3079.0,-2109.0
path,3096.0,-2144.0
path,3134.0,-2144.0
path,3183.0,-2141.0
path,3221.0,-2131.0
path,3208.0,-2122.0
path,3195.0,-2111.0
path,3195.0,-2091.0
path,3203.0,-2086.0
path,3228.0,-2076.0
path,3264.0,-2066.0
path,3276.0,-2066.0
path,3304.0,-2058.0
path,3339.0,-2041.0
path,3368.0,-2007.0
path,3561.0,-1842.0
path,3806.0,-1648.0
path,3836.0,-1631.0
path,3890.0,-1596.0
path,3944.0,-1556.0
path,3944.0,-1551.0
path,3951.0,-1542.0
path,3966.0,-1533.0
path,4002.0,-1533.0
path,4009.0,-1570.0
path,3951.0,-1644.0
path,3904.0,-1671.0
path,3695.0,-1828.0
path,3459.0,-2017.0
path,3452.0,-2026.0
path,3427.0,-2043.0
path,3387.0,-2060.0
path,3367.0,-2060.0
path,3344.0,-2062.0
path,3333.0,-2072.0
path,3341.0,-2077.0
path,3421.0,-2087.0
path,3580.0,-2097.0
path,3723.0,-2097.0
path,3866.0,-2097.0
path,4003.0,-2075.0
path,4000.0,-2062.0
path,3994.0,-2036.0
path,3988.0,-2007.0
path,3988.0,-1991.0
path,3922.0,-1975.0
path,3839.0,-1974.0
path,3826.0,-1986.0
path,3806.0,-1999.0
path,3777.0,-2003.0
path,3759.0,-1985.0
path,3763.0,-1951.0
path,3816.0,-1913.0
path,3872.0,-1909.0
path,3949.0,-1918.0
path,4034.0,-1969.0
path,4040.0,-2001.0
path,4049.0,-2036.0
path,4089.0,-2071.0
path,4112.0,-2071.0
path,4146.0,-2066.0
path,4180.0,-2052.0
path,4180.0,-2044.0
path,4196.0,-2002.0
path,4231.0,-1927.0
path,4250.0,-1895.0
path,4285.0,-1831.0
path,4320.0,-1761.0
path,4320.0,-1755.0
path,4332.0,-1741.0
path,4360.0,-1724.0
path,4375.0,-1720.0
path,4416.0,-1702.0
path,4474.0,-1671.0
path,4514.0,-1641.0
path,4570.0,-1617.0
path,4686.0,-1657.0
path,4744.0,-1719.0
path,4810.0,-1813.0
path,4843.0,-1937.0
path,4803.0,-1973.0
path,4772.0,-2016.0
path,4822.0,-2059.0
path,4882.0,-2059.0
path,4955.0,-2056.0
path,5024.0,-2042.0
path,5021.0,-2034.0
path,5030.0,-2009.0
path,5059.0,-1969.0
path,5087.0,-1947.0
path,5120.0,-1916.0
path,5149.0,-1859.0
path,5146.0,-1835.0
path,5145.0,-1805.0
path,5154.0,-1778.0
path,5162.0,-1781.0
path,5177.0,-1794.0
path,5192.0,-1818.0
path,5193.0,-1828.0
path,5196.0,-1862.0
path,5201.0,-1915.0
path,5204.0,-1938.0
path,5203.0,-1974.0
path,5193.0,-2013.0
path,5183.0,-2016.0
path,5171.0,-2016.0
path,5164.0,-2003.0
path,5170.0,-1987.0
path,5175.0,-1971.0
path,5159.0,-1968.0
path,5121.0,-1994.0
path,5088.0,-2032.0
path,5103.0,-2070.0
path,5147.0,-2070.0
path,5191.0,-2070.0
path,5242.0,-2009.0
path,5245.0,-1975.0
path,5251.0,-1898.0
